날짜,시:분,온도 (℃),습도 (%),CO2 (ppm),토양온도 (℃),토양 EC (dS/m),토양수분 (%),일사 (w/㎡),EC (dS/m),pH (pH)
2022-06-22,18:00,28.22,67.21,289.67,29.71,0.58,25.11,75.25,3.93,7.07
2022-06-22,17:00,29.71,64.7,287.17,30.26,0.58,25.19,105.9,3.94,7.04
2022-06-22,16:00,32.13,59.75,282.91,31.45,0.57,25.23,146.08,3.88,7.08
2022-06-22,15:00,33.3,57.68,286.25,31.75,0.58,25.13,178.27,3.97,7.14
2022-06-22,14:00,34.42,56.21,280.18,31.8,0.57,25.15,221.56,3.88,7.21
2022-06-22,13:00,33.97,55.94,278,31.68,0.57,25.24,242.41,3.87,7.31
2022-06-22,12:00,34.69,54.32,279.08,31.08,0.55,25.06,244.89,3.78,7.45
2022-06-22,11:00,33.34,54.8,285.58,30.05,0.56,25.41,226.09,3.74,7.61
2022-06-22,10:00,31.23,58.84,288.5,28.78,0.55,25.37,193.73,3.61,7.57
2022-06-22,9:00,30.17,63.31,283.08,27.63,0.55,25.63,336.26,3.68,7.82
2022-06-22,8:00,27.85,68.35,284.25,26.1,0.53,25.58,235.98,3.47,7.84
2022-06-22,7:00,25.24,80.37,299.42,24.78,0.54,25.58,140.13,3.6,8
2022-06-22,6:00,23.75,89.52,379.42,24.33,0.55,25.62,50.47,3.66,8.03
2022-06-22,5:00,23.32,91.48,403.67,24.46,0.56,25.61,0,3.69,8
2022-06-22,4:00,23.66,92.03,429.83,24.85,0.56,25.57,0,3.68,7.99
2022-06-22,3:00,24.12,91.31,425.42,25.12,0.56,25.51,0,3.7,8
2022-06-22,2:00,24.23,89.79,409.45,25.27,0.56,25.5,0,3.72,8.01
2022-06-22,1:00,24.29,87.8,392.25,25.48,0.57,25.49,0,3.78,7.99
2022-06-22,0:00,24.33,86.4,378.08,25.78,0.57,25.42,0,3.82,7.93
2022-06-23,23:00,24.44,97.75,366.67,25.75,0.54,25.83,0,3.5,7.7
2022-06-23,22:00,24.63,97.12,358.92,26.03,0.54,25.8,0,3.52,7.65
2022-06-23,21:00,24.86,96.22,350.67,26.37,0.54,25.77,0,3.55,7.58
2022-06-23,20:00,25.16,94.98,343.67,26.77,0.54,25.71,0,3.54,7.51
2022-06-23,19:00,25.85,93.21,335,27.29,0.54,25.68,0,3.53,7.45
2022-06-23,18:00,26.77,92.32,326.25,27.7,0.54,25.64,3.46,3.52,7.42
2022-06-23,17:00,27.2,91.03,320,27.85,0.54,25.7,24.99,3.56,7.42
2022-06-23,16:00,27.74,88.48,295.09,27.88,0.54,25.71,45.51,3.57,7.47
2022-06-23,15:00,27.13,84.37,290.33,27.78,0.55,25.73,53.07,3.62,7.42
2022-06-23,14:00,27.88,81.03,282.33,28.26,0.55,25.89,80.87,3.6,7.43
2022-06-23,13:00,30.5,87.01,258.08,28.28,0.54,25.93,174.68,3.56,7.61
2022-06-23,12:00,27.03,89.38,289.75,27.06,0.55,25.79,74.93,3.59,7.5
2022-06-23,11:00,27.04,81.73,289.92,27.07,0.55,25.84,66.83,3.59,7.56
2022-06-23,10:00,27.86,76.42,287.08,27.34,0.55,25.95,71.63,3.58,7.59
2022-06-23,9:00,29.71,73.33,282.83,27.18,0.54,26.04,183.96,3.54,7.8
2022-06-23,8:00,28.33,77.23,296.75,25.69,0.53,25.86,184.86,3.43,7.79
2022-06-23,7:00,25.03,87.09,316,24.31,0.54,25.78,78.88,3.52,7.89
2022-06-23,6:00,23.9,94.73,330.58,23.85,0.54,25.88,51.49,3.52,7.93
2022-06-23,5:00,22.48,95.64,336.75,23.6,0.54,25.88,10.79,3.53,7.94
2022-06-23,4:00,23.01,95.58,413.33,23.88,0.55,25.84,0,3.58,7.93
2022-06-23,3:00,23.15,94.92,417.67,23.99,0.55,25.82,0,3.58,7.91
2022-06-23,2:00,23.14,94.02,410.25,24.1,0.56,25.8,0,3.65,7.94
2022-06-23,1:00,22.93,92.78,392.92,24.2,0.55,25.8,0,3.62,7.96
2022-06-23,0:00,22.92,91.57,372.08,24.47,0.56,25.73,0,3.67,7.92
2022-06-24,23:00,23.78,95.27,364.17,25.18,0.54,26.01,0,3.51,7.59
2022-06-24,22:00,23.78,93.53,339.33,25.41,0.55,25.95,0,3.55,7.52
2022-06-24,21:00,23.45,90.38,322.75,25.65,0.55,25.89,0,3.58,7.36
2022-06-24,20:00,23.68,87.02,309.33,26.35,0.56,25.79,0,3.64,7.13
2022-06-24,19:00,25.06,81.75,307.42,27.44,0.55,25.7,14.98,3.64,6.95
2022-06-24,18:00,26.93,75.48,290.58,28.42,0.55,25.69,74.52,3.63,6.9
2022-06-24,17:00,28.83,70.13,286.42,29.31,0.55,25.84,173.91,3.59,6.87
2022-06-24,16:00,28.83,70.13,286.42,29.31,0.55,25.84,173.91,3.59,6.87
2022-06-24,15:00,-,-,-,-,-,-,-,-,-
2022-06-24,14:00,29.5,71.35,283.58,28.18,0.54,25.96,266.91,3.52,7.39
2022-06-24,13:00,28.69,75.33,285.17,27.68,0.54,26.03,219.54,3.53,7.51
2022-06-24,12:00,27.7,77.84,284.33,27.32,0.54,26.13,214.41,3.44,7.56
2022-06-24,11:00,28.32,77.53,283.83,26.83,0.54,26.08,249.45,3.5,7.69
2022-06-24,10:00,25.69,84.3,283.75,25.93,0.55,26.03,126.45,3.54,7.65
2022-06-24,9:00,27.01,88.74,295.75,26.23,0.53,26.01,99.47,3.42,7.59
2022-06-24,8:00,26.69,98.63,329.75,25.56,0.52,25.89,92.07,3.4,7.69
2022-06-24,7:00,24.94,99.28,364.25,24.74,0.53,25.98,57.55,3.45,7.76
2022-06-24,6:00,23.76,99.34,373.33,24.5,0.53,25.99,11.48,3.45,7.79
2022-06-24,5:00,23.65,99.31,371.33,24.58,0.53,26,0,3.43,7.8
2022-06-24,4:00,23.85,99.32,362.75,24.78,0.53,25.95,0,3.39,7.8
2022-06-24,3:00,24.03,99.31,359.08,24.93,0.53,25.93,0,3.43,7.81
2022-06-24,2:00,24.01,98.97,362.08,25.04,0.53,25.93,0,3.44,7.8
2022-06-24,1:00,24.09,98.52,365.42,25.24,0.53,25.9,0,3.46,7.78
2022-06-24,0:00,24.24,98.12,365.5,25.48,0.53,25.9,0,3.47,7.74
2022-06-25,23:00,24.58,92.54,355.25,26.72,0.53,25.95,0,3.4,7.14
2022-06-25,22:00,25.03,90.48,335,27.32,0.53,25.85,0,3.43,7.03
2022-06-25,21:00,25.73,86.24,307.92,27.93,0.53,25.76,0,3.47,6.92
2022-06-25,20:00,26.52,79.55,293.42,28.68,0.53,25.68,0,3.48,6.79
2022-06-25,19:00,27.94,72.23,290.83,29.58,0.53,25.63,15.14,3.5,6.67
2022-06-25,18:00,29.61,68.43,278.67,30.44,0.54,25.68,65.16,3.54,6.65
2022-06-25,17:00,31.1,68.01,274.5,31.33,0.53,25.6,140.21,3.55,6.69
2022-06-25,16:00,32.73,65.82,272.83,31.79,0.53,25.53,284.09,3.56,6.74
2022-06-25,15:00,33.65,62.64,272.83,31.97,0.53,25.53,319.09,3.54,6.86
2022-06-25,14:00,34.91,65.31,268.58,31.45,0.52,25.69,289.91,3.47,7.02
2022-06-25,13:00,32.89,65.18,269.91,30.63,0.53,25.79,254.06,3.47,7.06
2022-06-25,12:00,32.83,65.05,276.83,30.28,0.53,25.93,270.33,3.4,7.21
2022-06-25,11:00,32.25,68.17,282.17,29.38,0.52,25.99,272.16,3.42,7.4
2022-06-25,10:00,31.14,75.03,287.82,27.74,0.53,26.26,318.17,3.4,7.6
2022-06-25,9:00,28.34,84.15,298.67,25.98,0.53,26.2,164.06,3.33,7.58
2022-06-25,8:00,26.07,89.75,309,24.81,0.52,26.07,109.77,3.34,7.66
2022-06-25,7:00,24.29,94.69,333,24.17,0.53,26.19,56.86,3.37,7.72
2022-06-25,6:00,23.27,96.8,341.75,23.84,0.54,26.2,37.61,3.45,7.74
2022-06-25,5:00,22.73,97.15,331.75,23.84,0.53,26.2,10.79,3.41,7.71
2022-06-25,4:00,22.86,97.31,361.75,24.08,0.54,26.18,0,3.43,7.66
2022-06-25,3:00,23.1,97.32,416.42,24.34,0.55,26.11,0,3.51,7.63
2022-06-25,2:00,23.41,97.44,398.58,24.66,0.54,26.1,0,3.46,7.61
2022-06-25,1:00,23.76,97.53,388.42,24.88,0.54,26.07,0,3.49,7.61
2022-06-25,0:00,23.8,96.63,375,25.03,0.55,26.03,0,3.51,7.61
2022-06-26,23:00,25.79,92.93,351.83,27.46,0.51,25.81,0,3.36,6.89
2022-06-26,22:00,26.09,89.13,330.25,27.83,0.53,25.8,0,3.47,6.82
2022-06-26,21:00,26.53,83.93,301.25,28.22,0.52,25.74,0,3.39,6.75
2022-06-26,20:00,27.06,78.73,288.58,28.72,0.52,25.7,0,3.4,6.67
2022-06-26,19:00,28.21,73.81,284.5,29.44,0.52,25.68,11.07,3.43,6.62
2022-06-26,18:00,29.76,70.63,282.25,30.08,0.52,25.7,27.88,3.4,6.68
2022-06-26,17:00,31.35,65.91,271.5,30.66,0.52,25.9,177.74,3.4,6.74
2022-06-26,16:00,31.84,66.05,271.58,30.73,0.51,25.79,228.41,3.35,6.83
2022-06-26,15:00,32.69,64.01,269.92,30.56,0.5,25.92,290.11,3.29,7.03
2022-06-26,14:00,30.95,72.42,271.67,29.5,0.5,26.09,218.84,3.24,7.09
2022-06-26,13:00,30.25,73.05,269.6,29.17,0.5,26.18,196.29,3.24,7.13
2022-06-26,12:00,29.46,77.74,274.09,28.24,0.5,26.24,218.05,3.11,7.26
2022-06-26,11:00,28.27,80.67,277.92,27.69,0.51,26.38,133.05,3.24,7.3
2022-06-26,10:00,28.1,81.34,281.67,27.36,0.51,26.39,117.71,3.26,7.41
2022-06-26,9:00,28.12,82.98,283.5,26.77,0.5,26.22,125.03,3.2,7.44
2022-06-26,8:00,26.53,89.4,291.67,25.83,0.5,26.07,95.77,3.25,7.44
2022-06-26,7:00,25.23,93.86,300.58,25.41,0.51,26.11,36.71,3.25,7.48
2022-06-26,6:00,24.65,94.63,305.17,25.23,0.51,26.14,28.08,3.29,7.47
2022-06-26,5:00,23.95,95.85,319,25.23,0.51,26.12,0,3.29,7.43
2022-06-26,4:00,24.18,96.02,343.08,25.65,0.52,26.1,0,3.34,7.38
2022-06-26,3:00,24.73,97.29,387.58,26,0.52,26.08,0,3.32,7.34
2022-06-26,2:00,25.04,97.19,376.75,26.2,0.52,26.03,0,3.33,7.32
2022-06-26,1:00,25.11,96.65,376.75,26.35,0.52,26.02,0,3.37,7.3
2022-06-26,0:00,24.94,95.1,367.25,26.43,0.52,26,0,3.33,7.24
2022-06-27,23:00,26.2,88.28,334.33,27.42,0.52,25.87,0,3.38,6.74
2022-06-27,22:00,26.46,85.78,321.42,27.69,0.52,25.83,0,3.41,6.69
2022-06-27,21:00,26.8,81.4,301.92,27.93,0.52,25.8,0,3.4,6.64
2022-06-27,20:00,26.97,79.92,290.42,28.23,0.52,25.8,0,3.43,6.59
2022-06-27,19:00,27.52,78.28,288.33,28.68,0.52,25.77,5.66,3.45,6.54
2022-06-27,18:00,28.26,76.95,283.42,29.08,0.53,25.8,27.11,3.46,6.54
2022-06-27,17:00,28.93,73.97,277.83,29.41,0.53,25.93,95.6,3.44,6.57
2022-06-27,16:00,29.31,72.46,276.67,29.65,0.53,25.82,111.88,3.46,6.65
2022-06-27,15:00,30,72.08,271.58,29.89,0.52,25.98,177.25,3.35,6.71
2022-06-27,14:00,30.12,73.69,274.08,29.88,0.52,25.96,208.22,3.4,6.82
2022-06-27,13:00,30.25,74.82,270.42,29.73,0.52,26.01,205.45,3.37,6.9
2022-06-27,12:00,29.88,76.73,270.83,29.17,0.52,26.1,208.71,3.35,6.93
2022-06-27,11:00,28.83,80.96,279.25,28.73,0.52,26.04,116.12,3.31,6.89
2022-06-27,10:00,29.45,78.55,278.27,28.85,0.51,26.15,137.64,3.29,7.04
2022-06-27,9:00,30.39,78.54,274,28.54,0.51,26.22,234.35,3.26,7.22
2022-06-27,8:00,28.77,88.03,280.83,27.3,0.5,26.07,157.02,3.17,7.25
2022-06-27,7:00,26.5,94.55,302.5,26.35,0.5,25.98,79.08,3.26,7.22
2022-06-27,6:00,25.39,95.81,334.33,26.05,0.51,26,38.66,3.28,7.21
2022-06-27,5:00,25,95.63,340.33,26.09,0.51,26,2.08,3.29,7.16
2022-06-27,4:00,25.15,98.01,391.17,26.35,0.51,25.97,0,3.27,7.11
2022-06-27,3:00,25.46,98.51,421.42,26.6,0.51,25.93,0,3.3,7.07
2022-06-27,2:00,25.71,97.6,403.67,26.83,0.51,25.92,0,3.29,7.03
2022-06-27,1:00,25.74,96.67,385.33,26.98,0.51,25.9,0,3.3,6.99
2022-06-27,0:00,25.61,94.93,373.83,27.16,0.51,25.87,0,3.34,6.95
2022-06-28,23:00,26.42,86.03,333.5,27.79,0.52,25.8,0,3.41,6.64
2022-06-28,22:00,26.61,83.66,316.58,28.03,0.52,25.79,0,3.4,6.57
2022-06-28,21:00,26.75,79.76,298.08,28.33,0.52,25.77,0,3.39,6.5
2022-06-28,20:00,27.2,75.13,289.58,28.8,0.52,25.7,0,3.44,6.46
2022-06-28,19:00,27.85,72.31,280.5,29.39,0.53,25.64,8.06,3.48,6.41
2022-06-28,18:00,28.9,69.71,278.58,30.07,0.53,25.68,56.98,3.48,6.39
2022-06-28,17:00,29.67,67.51,271.83,30.58,0.54,25.79,115.1,3.53,6.37
2022-06-28,16:00,30.45,64.47,268.67,31.15,0.54,25.71,175.66,3.54,6.37
2022-06-28,15:00,31.71,62.26,265,31.67,0.53,25.65,215.51,3.49,6.4
2022-06-28,14:00,32.1,63.53,269.17,31.36,0.53,25.73,213.96,3.52,6.47
2022-06-28,13:00,31.55,65.69,282.5,30.98,0.53,25.82,217.58,3.43,6.47
2022-06-28,12:00,31.58,66.21,268.58,30.82,0.53,25.73,188.69,3.52,6.55
2022-06-28,11:00,31.73,65.05,263.58,30.52,0.52,25.82,340.86,3.45,6.76
2022-06-28,10:00,30.48,69.14,263.25,29.22,0.53,26,301.34,3.46,6.91
2022-06-28,9:00,29.48,71.76,267.27,28.31,0.52,26.13,232.7,3.38,6.98
2022-06-28,8:00,27.96,77.88,274.25,27.15,0.5,25.73,169.6,3.08,6.89
2022-06-28,7:00,27.15,79.18,280.08,26.73,0.5,25.77,85.72,3.31,6.95
2022-06-28,6:00,26.47,81.13,285.67,26.36,0.51,25.88,31.91,3.33,6.97
2022-06-28,5:00,25.88,82.82,292.83,26.36,0.51,25.9,7.81,3.32,6.96
2022-06-28,4:00,25.92,86.15,313.42,26.53,0.52,25.9,0,3.38,6.93
2022-06-28,3:00,25.75,90.99,352,26.65,0.51,25.91,0,3.32,6.91
2022-06-28,2:00,25.81,90.54,347.5,26.79,0.52,25.9,0,3.35,6.87
2022-06-28,1:00,25.83,89.75,344.42,26.95,0.52,25.9,0,3.38,6.84
2022-06-28,0:00,25.99,89.24,342.33,27.18,0.51,25.9,0,3.32,6.79
2022-06-29,23:00,26.11,92.62,325.17,27.11,0.5,26.3,0,3.19,6.89
2022-06-29,22:00,26.21,90.94,314,27.25,0.5,26.3,0,3.2,6.85
2022-06-29,21:00,26.32,88.43,293.5,27.38,0.51,26.3,0,3.25,6.81
2022-06-29,20:00,26.38,88.29,291.58,27.53,0.51,26.29,0,3.22,6.76
2022-06-29,19:00,26.48,87.81,291.17,27.78,0.51,26.3,0,3.23,6.71
2022-06-29,18:00,27.08,83.48,283.92,28.12,0.51,26.31,4.03,3.24,6.64
2022-06-29,17:00,27.22,83.72,282.25,28.41,0.5,26,14.45,3.26,6.63
2022-06-29,16:00,27.81,80.58,280.33,28.75,0.51,26.01,30.4,3.28,6.58
2022-06-29,15:00,28.81,76.68,272.42,29.37,0.5,26.11,102.52,3.23,6.58
2022-06-29,14:00,29.76,75.28,261.75,29.6,0.5,26.13,190.52,3.22,6.65
2022-06-29,13:00,29.82,74.69,262.42,29.78,0.5,26.15,168.87,3.22,6.67
2022-06-29,12:00,30.93,72.64,255.58,29.68,0.5,26.23,241.03,3.08,6.81
2022-06-29,11:00,30.17,76.11,264.33,28.8,0.5,26.3,247.25,3.18,6.94
2022-06-29,10:00,28.29,81.23,265.17,27.85,0.51,26.38,145.71,3.21,6.9
2022-06-29,9:00,27.7,84.7,272.58,27.23,0.5,26.34,154.5,3.19,6.92
2022-06-29,8:00,26.78,90.43,275.92,26.57,0.49,25.95,139.11,3.2,6.92
2022-06-29,7:00,25.18,95.88,299.08,26.05,0.5,26,38.46,3.25,6.93
2022-06-29,6:00,24.92,95.18,319.55,26.13,0.5,26,9.81,3.26,6.89
2022-06-29,5:00,25.03,93.78,338.67,26.36,0.51,25.98,0,3.28,6.83
2022-06-29,4:00,25.54,90.19,339.58,26.77,0.51,25.9,0,3.3,6.79
2022-06-29,3:00,26.07,87.5,339.92,27.03,0.51,25.9,0,3.31,6.76
2022-06-29,2:00,26.17,87.3,350.75,27.18,0.51,25.9,0,3.3,6.74
2022-06-29,1:00,26.04,88.34,342.17,27.28,0.51,25.9,0,3.34,6.71
2022-06-29,0:00,26.17,87.58,340.83,27.53,0.51,25.88,0,3.33,6.68
2022-06-30,23:00,24.98,92.83,353.42,27.05,0.51,25.97,0,3.29,6.69
2022-06-30,22:00,25.35,91.33,337.25,27.59,0.51,25.88,0,3.29,6.57
2022-06-30,21:00,25.99,87.69,314.17,28.25,0.52,25.81,0,3.37,6.46
2022-06-30,20:00,26.93,81.64,293,28.98,0.51,25.74,0,3.34,6.39
2022-06-30,19:00,28.57,75.78,281.08,29.69,0.51,25.7,18.31,3.38,6.35
2022-06-30,18:00,29.67,71.07,270.67,30.13,0.51,25.76,57.31,3.37,6.37
2022-06-30,17:00,30.34,68.03,266.25,30.48,0.51,25.92,125.11,3.36,6.41
2022-06-30,16:00,31.32,66.68,260.25,30.93,0.52,25.92,154.05,3.41,6.46
2022-06-30,15:00,31.14,71.3,263.25,30.89,0.51,25.91,168.21,3.36,6.46
2022-06-30,14:00,31.87,68.11,257.67,31.01,0.51,25.92,258.08,3.34,6.51
2022-06-30,13:00,32.03,68.33,257.5,30.63,0.5,26.08,255.8,3.23,6.59
2022-06-30,12:00,30.95,72.55,257.67,30.18,0.51,26.12,234.19,3.16,6.57
2022-06-30,11:00,31.46,69.44,259.5,30.27,0.5,26.09,254.29,3.22,6.67
2022-06-30,10:00,31.77,71.56,258.64,29.15,0.49,26.35,356.93,3.15,6.89
2022-06-30,9:00,28.24,85.61,268.42,27.42,0.49,26.27,168.58,3.09,6.79
2022-06-30,8:00,27.2,86.84,281.67,26.94,0.49,26.16,75.09,3.12,6.84
2022-06-30,7:00,26.5,90.21,281.33,26.45,0.49,26.28,68.86,3.15,6.92
2022-06-30,6:00,25.7,92.13,291.58,26.23,0.49,26.32,30.61,3.13,6.95
2022-06-30,5:00,25.38,92.65,291.45,26.25,0.5,26.34,6.17,3.17,6.95
2022-06-30,4:00,25.44,95.68,319.42,26.43,0.5,26.31,0,3.13,6.94
2022-06-30,3:00,25.59,97.03,354.25,26.57,0.5,26.32,0,3.15,6.93
2022-06-30,2:00,25.67,95.91,346.25,26.68,0.51,26.3,0,3.24,6.93
2022-06-30,1:00,25.88,94.59,343.25,26.85,0.5,26.3,0,3.15,6.92
2022-06-30,0:00,26.04,93.83,336.92,26.98,0.5,26.3,0,3.19,6.91
2022-07-01,23:00,24.86,93.16,357.5,27.02,0.49,26.07,0,3.12,6.9
2022-07-01,22:00,25.4,92.03,334.08,27.7,0.49,25.97,0,3.15,6.74
2022-07-01,21:00,25.93,89.61,312,28.38,0.5,25.88,0,3.22,6.57
2022-07-01,20:00,26.36,84.8,292.45,29.24,0.5,25.79,0,3.24,6.39
2022-07-01,19:00,27.9,77.98,291.25,30.5,0.5,25.68,7.9,3.28,6.27
2022-07-01,18:00,30.57,70.24,277.08,31.74,0.5,25.68,77.33,3.31,6.23
2022-07-01,17:00,32.96,65.68,270.58,32.58,0.5,25.79,175.17,3.29,6.25
2022-07-01,16:00,33.57,69.46,260.08,32.93,0.5,25.81,340.78,3.3,6.26
2022-07-01,15:00,35.03,64.95,263.67,33.16,0.5,25.83,325.36,3.16,6.27
2022-07-01,14:00,35.37,70.17,266.75,33.04,0.5,25.75,288.03,3.32,6.35
2022-07-01,13:00,34.77,62.25,270.92,32.83,0.5,25.73,206.96,3.29,6.39
2022-07-01,12:00,35.82,58.65,266.08,32.53,0.5,25.83,191.09,3.29,6.58
2022-07-01,11:00,34.7,61.37,269.8,31.38,0.49,26.01,318.73,3.15,6.69
2022-07-01,10:00,32.29,69.25,262,29.37,0.51,26.57,363.13,3.26,6.8
2022-07-01,9:00,32.12,69.79,261.89,29.16,0.49,26.42,301.07,3.12,7.11
2022-07-01,8:00,29.76,78.18,270.42,27.23,0.48,26.43,252.14,3.04,7.16
2022-07-01,7:00,25.73,92.16,308.08,25.28,0.49,26.27,112.62,3.1,7.22
2022-07-01,6:00,24.24,96.13,345.67,24.82,0.49,26.3,46.97,3.12,7.25
2022-07-01,5:00,23.37,96.13,390.83,24.78,0.49,26.3,9.08,3.13,7.21
2022-07-01,4:00,23.61,96.16,429.5,25.04,0.5,26.22,0,3.19,7.17
2022-07-01,3:00,23.78,95.64,422.09,25.32,0.5,26.2,0,3.18,7.11
2022-07-01,2:00,23.94,94.92,404.75,25.63,0.5,26.15,0,3.2,7.03
2022-07-01,1:00,24.14,94.25,389.25,26.03,0.51,26.08,0,3.28,6.92
2022-07-01,0:00,24.51,93.5,370.17,26.53,0.51,26,0,3.28,6.81
2022-07-02,23:00,25.83,93.48,376.33,27.77,0.51,25.7,0,3.38,6.63
2022-07-02,22:00,25.91,90.94,350.83,28.15,0.53,25.68,0,3.47,6.54
2022-07-02,21:00,26.2,86.26,324.67,28.75,0.52,25.55,0,3.46,6.42
2022-07-02,20:00,26.88,80.38,309.58,29.54,0.53,25.49,0,3.5,6.3
2022-07-02,19:00,28.11,73.72,297.83,30.49,0.53,25.42,16.93,3.54,6.19
2022-07-02,18:00,30.34,63.73,275.5,31.55,0.53,25.43,72.89,3.57,6.13
2022-07-02,17:00,32.22,57.65,274.58,32.46,0.53,25.49,169.92,3.55,6.1
2022-07-02,16:00,34.29,55.21,264.25,33.24,0.52,25.45,320.07,3.49,6.1
2022-07-02,15:00,35.86,53.8,267.5,33.75,0.52,25.49,323.93,3.29,6.14
2022-07-02,14:00,37.14,54.73,278.83,33.67,0.5,25.42,318.27,3.42,6.24
2022-07-02,13:00,36.47,52.95,271.08,32.79,0.5,25.58,291.25,3.33,6.39
2022-07-02,12:00,35.37,52.18,271.83,32.18,0.48,25.78,244.77,3.19,6.52
2022-07-02,11:00,34.91,59.78,283.67,31.59,0.47,26.01,234.03,3.08,6.73
